情绪标签,时间,性别,评论
负面,2024-12-08 02:14:28 北京时间,男,出生虽然少，但出生多啊[星星眼]
负面,2024-12-08 02:04:28 北京时间,男,游戏策划知道出了数值高氪金力度强的道具会造成新玩家减少，但同时也能保证高收益，反正过几年就有新策划来接替，自己的简历有内容就行
负面,2024-12-08 08:36:59 北京时间,女,着急啊，他们着急的是你没有后代变成无敌之人。
正面,2024-12-08 02:04:55 北京时间,保密,2016年出生人口1000多万，这些劳动力，用到2076年都可以，东大根本不缺人
正面,2024-12-08 01:29:36 北京时间,男,像宁德时代这种已经成为全球顶尖的企业也并没有给他的员工带来远超社会的收入和福利啊，其他企业转型成功难道就能？
负面,2024-12-08 08:28:49 北京时间,保密,"前几天我舍友对学校种种做法表示不满，并说道：“咱们好歹也是研究生，怎么能被这样对待？”,我淡定的告诉舍友：“这个学校里，只有研究生才把研究生当回事看。”"
中立,2024-12-08 05:56:53 北京时间,保密,"这个视频跟我一贯的观点很接近，人口根本就没有崩溃，只是回到正常水平。一年500万新生儿，人均80岁的话，最后也会稳定在4亿人的水平上，这才是一个人口大国的正常水平。,至于年龄结构？呵呵，我们，我们的父母，甚至可能还包括子女，都只是被牺牲的两三代人罢了。。。所以所谓的不生，只是符合自身的利益罢了，高层甚至乐于看见这种状况出现。"
负面,2024-12-10 00:42:15 北京时间,保密,不生孩子也不是为了让国家着急，很多人不生只是一种深思熟虑之后的一种人生选择，互相尊重吧。
正面,2024-12-08 01:30:01 北京时间,保密,不是没钱，是钱不均匀
中立,2024-12-08 05:52:22 北京时间,保密,人口从来不是问题，人口结构和产业结构的错配才是问题
负面,2024-12-08 07:03:20 北京时间,男,人还是太多了，啥时候出现你不干没人干的时候就舒服了
正面,2024-12-08 10:20:24 北京时间,男,马克思说过，科技越发达，工人越贫困
正面,2024-12-08 01:20:01 北京时间,男,什么叫中华民族，我们甚至有俄罗斯族，河南也有犹太后裔，难保未来不会增加萨克逊族，你说非洲族裔？他们已经几乎成为事实了。对于我们摸着石头过河的对象，他们的主体民族甚至不到1/3了，任然稳稳把持政局，我们要到那个时候都不知道还要过多久。别把他们想的太高，他们哪里会管洪水滔天，而且这个洪水甚至是几百年后。
负面,2024-12-08 02:00:34 北京时间,男,人口多少他们并不在意，但是如果不能更好地积累财富，他们肯定着急[吃瓜]
负面,2024-12-08 01:14:46 北京时间,保密,因为重要但不紧迫[Mygo表情包_探头]
负面,2024-12-08 02:34:38 北京时间,女,着急就会采取策略，什么都没动就是不着急
中立,2024-12-08 06:23:36 北京时间,保密,并不是不担心人口问题，而是人口问题要几十年后才会提现出来，所以目前优先解决当前问题，比如就业，国内大循环。都比人口更优先。
中立,2024-12-08 08:08:09 北京时间,保密,他们生活品质又不会下降，着什么急
负面,2024-12-08 08:13:18 北京时间,保密,降下来不是很好么，我小时候地理和政治题考的就是我国人口过多，控制人口增长，让人口自然下降到一个合理的数值
负面,2024-12-08 01:43:35 北京时间,保密,通过选择修炼葵花宝典来进入发达国家序列，UP的新思路确实够新颖，够犀利[抱拳][抱拳][抱拳]
中立,2024-12-08 06:07:08 北京时间,保密,你会在意路边的流浪猫流浪狗生了几胎吗？
中立,2024-12-08 01:44:34 北京时间,男,相当于淘汰一部分人口，还是自愿的，何乐而不为。这很社达。
中立,2024-12-08 03:45:05 北京时间,保密,讲道理，但凡十分之一的企业运行胖东来模式，人口都能增长起来
负面,2024-12-08 02:05:41 北京时间,保密,人家10年后，子子孙孙都出去了，他着什么急
负面,2024-12-08 02:13:04 北京时间,男,当然不着急啊……一年800万，10年都要1个亿了，别的国家哪有这么多人[喜极而泣]而且就目前高中生大学生的数量，撑到2045没问题，到时候再解决
负面,2024-12-08 01:31:22 北京时间,保密,急什么急就是人口太多了，几千万人就够了。结构也不是问题我们各种产能都过剩不存在物质不足，不过是谁吃多少蛋糕的问题
中立,2024-12-08 11:30:50 北京时间,保密,先把工人需要劳动法普及了吧
负面,2024-12-11 11:42:59 北京时间,男,人才up，gdp总数不变，减少人数，这样人均GDP就达到发达国家水平[呲牙]人口结构你是闭口不谈啊，以后是老龄化越来越严重，年轻劳动力越来越少，这才是主要问题。如果按你这么说，把10亿人移民去发达国家，还能拉低发达国家的人均GDP，提高我国的人均GDP[呲牙][呲牙]
负面,2024-12-08 07:20:14 北京时间,男,并不是他们不急，而是他们的脑容量没办法同时解决大学毕业生太多和初生婴儿不足的双重问题
正面,2024-12-08 03:54:20 北京时间,保密,你玩策略游戏会在乎npc的死活吗？
中立,2024-12-08 01:13:02 北京时间,保密,老龄化一点也不提是吧，非劳动人口快速下降，怎么看都是收入减少，支出暴增
负面,2024-12-08 02:02:29 北京时间,男,不用担心，大自然有自己的规律～[doge]
中立,2024-12-08 01:11:41 北京时间,保密,14亿的总量，每年减少几百万，简直小意思，谁会在乎，够几代人用的
正面,2024-12-19 09:48:21 北京时间,男,生育率低是年轻人面对社会资源分配不均的呐喊吗？
负面,2024-12-08 01:16:05 北京时间,保密,恐怕于很多人看来，一个个人口只是一个个数字，一个个成绩，而非一个个鲜活的人[doge]
负面,2024-12-08 10:17:45 北京时间,男,别指望击败西方后日子能变好，美国击败苏联后美国普通人的日子变好了吗
负面,2024-12-08 02:16:24 北京时间,男,up这是一屁股就坐到国家的脑子里去了
负面,2024-12-08 06:23:26 北京时间,保密,有没有想过，这其实就是人家想要的效果
中立,2024-12-08 03:04:46 北京时间,保密,不急，因为自己活不到买单的时候，交给后人就行
正面,2024-12-08 04:04:52 北京时间,男,能允许你知道的，允许你抱怨反抗的，基本是他们本来就想这样的，人家或许本来就不用那么多人口了，又没好理由。
负面,2024-12-09 06:05:18 北京时间,男,大家一直抱怨着国内社会卷，归根结底还不是人太多闹的！
负面,2024-12-08 10:54:06 北京时间,男,牛不下崽我可太愁了，没法耕地只会吃草料的老牛多了我也愁[大笑]
正面,2024-12-08 01:10:22 北京时间,男,从历史的惯性看，出生人口确实太少；从未来的Ai和机器人爆发看，出生人口还是过多。
中立,2024-12-08 06:18:16 北京时间,保密,中国人口即使减少30%也对中国经济没有任何影响。
负面,2024-12-08 02:12:02 北京时间,男,其他国家的经验已经证明了，什么政策都不可能逆转生育率
负面,2024-12-08 06:31:02 北京时间,保密,中国不缺人！你不干有的是人干[笑哭]
正面,2024-12-08 06:37:00 北京时间,男,"一直在讨论生产，却忘了人口最大的意义是消费。,无法生产1000个面包时候可以升级自动化机器达成，但生产的1000个面包只能靠人来消费。"
正面,2024-12-09 01:46:47 北京时间,男,反正我作为领导的儿子都没有结婚的想法
负面,2024-12-18 12:15:57 北京时间,男,看完了，md，出生早了[喜极而泣]
负面,2024-12-08 07:52:51 北京时间,男,啥时候春运每个人都能正常买到票，而不是靠抢靠中转加价，人数才正常[嫌弃]
负面,2024-12-08 06:20:49 北京时间,保密,国家着什么急，像美国一样成移民国家 多的是人来[doge]
正面,2024-12-08 02:56:35 北京时间,保密,估计你写文稿前 至少喝了2斤二锅头 好酒不会醉的那么厉害
负面,2024-12-08 08:28:30 北京时间,保密,up好像没理解到，人本身就是一种财富（前提不透支自然），而不是什么产业支柱，或伟大复兴下可以调节的参数，
正面,2024-12-08 08:10:21 北京时间,保密,应该是不急的，急的话政策早改了
中立,2024-12-08 01:46:21 北京时间,保密,如果每一个鲜活的人在高位看来都是数字的话，那整体的增长下降与我何干
中立,2024-12-08 15:01:46 北京时间,保密,一直想不明白，90后00后那一批多数是独生子女吧。就业岗位怎么还这么紧缺，压力还这么大。
中立,2024-12-09 14:38:27 北京时间,男,"就这水平的分析也能发视频？人口结构变化呢？产业结构变化呢？所谓知识红利呢？社会创新能力呢？,UP是真聪明，看到现在丁克人多，生活压力大，就发一篇符合观众预期的视频"
负面,2024-12-08 02:05:23 北京时间,保密,国家肯定不急，以后都是机器人
中立,2024-12-08 01:21:31 北京时间,保密,最大的问题人口结构，是人口老龄化。
中立,2024-12-16 08:48:21 北京时间,保密,几十年后，进棺材躺着了。这世界如何又与我何干……………享受当下
负面,2024-12-09 03:23:10 北京时间,保密,我去幼儿园、小学，门口看了，都是满的，肯定不用担心啊[吃瓜]
负面,2024-12-08 02:30:12 北京时间,女,重要但不紧急的事，所以相信后人的智慧[给心心][给心心]
中立,2024-12-08 08:56:35 北京时间,保密,请问人口从4亿来到12亿才花了几年？根本不可能出现人口消亡，只要环境合适只有后来人。中国人在哪个朝代都完不了。历朝历代
正面,2024-12-08 01:58:51 北京时间,保密,我觉得核心问题不是人口总量够不够，以我国的人口基数人口来说，人口总量一直都是够的。最大的问题是人口年龄倒金字塔结构，即将到来的人口大量老龄化问题，以社会少数人的劳动养活多数人的情况会让年轻人压力骤增，也会引发一系列问题
负面,2024-12-10 04:48:39 北京时间,男,论点论据都很可笑。减少人数来达到发达国家的标准，属于只考虑那一刻达标不考虑长久发展的想法。大学生及以下这么思考的话可以理解
负面,2024-12-08 07:59:19 北京时间,男,不急，再和它耍耍[给心心][给心心]
负面,2024-12-08 03:59:45 北京时间,男,人口还十多亿呢慌什么？人口真正达到减半了8小时工作可能实现。当然90后的我是看不到了，加油给未来的同胞们。
中立,2024-12-08 08:04:12 北京时间,男,开放移民，非洲东南亚中东有的是人
中立,2024-12-08 12:10:12 北京时间,保密,只说数量，人口结构是一个字不提啊
负面,2024-12-08 09:14:23 北京时间,保密,别说现在每年还有几百万的出生人口，现在出生的人还得20年后才开始工作，未来二十年都不缺劳动力的，10-16年这段时间每年生的人可不少 而且这些人还在读书 等他们长大了也是十几年后的事了到时候又是一千多万大学生毕业
