情绪标签,时间,性别,评论
负面,2024-04-18 04:33:15 北京时间,保密,做了二十几年儿子了，养儿能不能防老我能不知道吗[脱单doge]
负面,2024-04-18 10:25:29 北京时间,保密,冷知识：京津沪所谓的正增长也只是建立在源源不断的外来人口的基础上，本地人的生育率早就跌破1.0了
中立,2024-04-19 00:53:31 北京时间,保密,我初中生物老师告诉我，繁衍是生物的本性，但如果某种群判断当下环境不适宜生存，便会停止繁衍。
负面,2024-04-19 12:17:27 北京时间,男,受传统观念影响，不结婚生子很多人甚至抬不起头，被人指指点点。但是当下最大的特点是，很多人有手机有电脑，就可以不出门，越来越多人不与人接触就不会受那些传统观念干扰了
负面,2024-04-18 04:46:23 北京时间,男,NPC就要有NPC的样子～所以别指望NPC能做主线剧情任务～
负面,2024-04-19 23:39:31 北京时间,男,当一个游戏不断榨取玩家价值的时候就没有什么新玩家加入了
负面,2024-04-18 03:20:59 北京时间,女,其实原因就四个字:无利可图。能用爱发电，生一个也就很不错了，一个赔本买卖自己图个乐，但谁会同时开几个赔本生意？
负面,2024-04-19 11:02:14 北京时间,保密,"玩过RTS的明白，经济不好还要极限爆兵的话，是很难的。,想要爆兵需要开矿，造补给站和房子。,极限爆兵一般是一波流！相当于机器过载，不可持续的。"
负面,2024-04-18 04:26:53 北京时间,男,宣传孝的本质是为了忠。默认忠是比孝更高的道德，大义可灭亲。如果孝高于忠，大亲可灭义，为孝可背主，孝即刻便不存在[doge]
正面,2024-04-19 11:41:37 北京时间,保密,网友有个优点，见到好东西会分享。自己掉了坑不会让你跳。
负面,2024-05-12 12:07:32 北京时间,女,"这不是好事吗？我就奇了怪了，难道就我是从2000年生活过来的，你们就突然是一下穿越到2024年的吗？2000年那时候我还只是个十岁的小屁孩，那会儿家里穷没电脑没电视机，每天最喜欢做的事就是看报纸,,我现在都还能记得，当时报纸上就是信誓旦旦的提出，我们要在二十几年后实现人口停滞，现在目标都实现了，你们怎么都不笑啊？你们不笑我可就笑了啊[呲牙][呲牙][呲牙]"
负面,2024-04-18 01:06:25 北京时间,保密,"拜托点赞投币，给up鼓励[喜欢][喜欢],点点500赞，多多转发帮助更多人[打call][打call],拜托大家打赏[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]"
正面,2024-04-19 17:55:47 北京时间,保密,"来看看几类典型的适龄青年：,1 小王：没有工作家里蹲，对后代的未来充满担忧，怕后代埋怨自己无能。不敢生。,2 小张：收入较高。但天天加班。累得要命。回家只想睡觉或者刷手机，连打开电脑玩游戏都没有力气。更不说去谈恋爱了。,3 小刘：和小张一样很忙。但是在父母的安排下认识了一个异性朋友。结果由于经常加班，约会不频繁，感情不怎么到位。迟迟没有后续。,4 小李：小李就是小刘的异性朋友。不但小刘忙着加班没有约会，小李也一样。实际上对小刘不是太满意。但是也没那么多时间找更好的。,5 小秦：收入高也不忙，属于少数派。他是五个人里唯一考虑结婚生子的。但也只是考虑而已。毕竟他收入虽然高，但是却觉得养孩子很贵又麻烦。,,————这样人口能多？"
负面,2024-04-19 12:21:41 北京时间,保密,我不生有的是人生 急啥子嘛[吃瓜]
负面,2024-04-19 21:11:44 北京时间,保密,能把人这么吃苦耐劳的生物养成这样，要怪谁啊[doge]
正面,2024-04-20 20:05:14 北京时间,保密,说的好，但是五一调休
正面,2024-04-18 13:11:09 北京时间,男,哪怕像我这样有幸福的原生家庭，一直成绩名列前茅，我也是活的够累了，我不能让我心爱的孩子再在三战前夕来遭罪
负面,2024-04-18 06:03:08 北京时间,保密,游戏不好玩又退不了坑，那不带新玩家也正常吧
负面,2024-04-27 01:04:10 北京时间,保密,[给心心]谁说国内人工智能落后的，这不妥妥的遥遥领先？
负面,2024-04-18 03:20:13 北京时间,保密,每到周末节假日南京地铁景区挤满了人，你就知道，人一点没少，哪里少了，一直是这么多好不好，嫌人少的多从自己身上找原因，这么多年有没有努力再生一个[doge]
负面,2024-04-18 03:52:58 北京时间,男,实际上最能生的是富人和最底层的人。主要是不上不下的不生。
正面,2024-05-03 04:42:17 北京时间,保密,只是调生而已，我上辈子应该是1910-1960左右的，当时已经生了八个，现在就没得生了。就像我们现在放了假下个星期只能休息一天一样。
负面,2024-04-20 08:46:05 北京时间,男,jieji两个字烫嘴，闭口不提，不过也没什么毛病，几乎所有人都在回避这个东西，但它确确实实存在而且越来越牢固，勇士还是稀缺的，但总会有的[喜极而泣]
中立,2024-06-18 12:56:11 北京时间,男,公平公正
负面,2024-04-18 03:25:17 北京时间,保密,几代人的积累都已经被房产花光了啊
中立,2024-05-03 01:13:34 北京时间,保密,11点半下班，12点半到家，7点起床，8点半上班，什么时候谈恋爱生孩子，午休的时候吗？
负面,2024-04-19 14:12:49 北京时间,男,算了算自己长到结婚现在花了多少家里的钱，算完之后发现爹妈不要我绝对经济自由了
负面,2024-05-04 14:44:05 北京时间,保密,一句话，我过的差。那这个世界再好，与我何干？
负面,2024-05-03 09:48:41 北京时间,男,我个人深有体会，我爸妈养我这个废物，现在工资还没他们一半高。[笑哭]我这辈子一直在拖他们的后腿，别说给他们提供经济了，现在甚至还需要他们给我买房结婚。[笑哭]所以干脆就别结婚了，不能再继续坑父母了。让他们老年过的富足，我鞍前马后报答一下养育之恩。至于我自己，爸妈留给我的资产应该够我安度晚年了。要是再结婚生子那岂不是直接掏空[笑哭]所以我基本不太可能结婚生子了。
中立,2024-04-18 04:07:26 北京时间,男,我是很不能理解修仙小说里配角死了之后为啥不惜一切代价都要重入轮回。愿我死后，不入轮回。
正面,2024-04-18 13:23:23 北京时间,保密,不是我不想生，而是没有生孩子的条件，我现在在三线小城市，房价一万多一平米，我是一本药学失业半年多了，我老婆是985的硕士，之前失业将近一年，最近才找到工作，工资只有四千多。我们一个月除去房租吃饭也就剩一千块钱，我们接受不了在出租屋里生孩子，想买房子的话，需要攒一百年，我要是也能找到工作，估计二十多年就能买到房子了。反正啥时候有了好工作，能买得起房子，能给孩子良好的成长条件，才会考虑要孩子。
正面,2024-04-19 06:01:27 北京时间,保密,工业化时代，生育作为劳动力再生产的一种经济行为，由家庭承担了绝大部分的成本，却由社会收走了绝大部分的利益。而生育力的下跌，宣告着新自由主义现代家庭形式已经不能适应工业3.0后的社会模式，而部分中国家庭甚至才刚刚走出农业家族。
中立,2024-04-18 04:22:46 北京时间,男,拒绝生育是正确的，资本的最成熟收割流程就是从结婚到生育，彩礼车房且不论，从怀孕到月子，到价格比平常产品贵三四倍的母婴产品，再到培训科，兴趣班，避开资本这一套收割，你就会有很多钱了
中立,2024-05-03 06:30:52 北京时间,保密,人口红利是社会的红利，不是个人的红利。。对老百姓来说人口太多就业竞争就激烈
负面,2024-04-20 11:48:40 北京时间,保密,生育率下跌的本质不就是资本再生产严重挤压了劳动再生产么，把分配问题解决了，生育率分分钟上去。可惜分配这个根本问题难以解决[嗑瓜子][嗑瓜子][嗑瓜子][嗑瓜子]
正面,2024-04-19 18:43:57 北京时间,保密,我觉得出生率还是高，要不为什么有这么多出生
中立,2024-04-18 06:10:36 北京时间,保密,繁衍是刻在基因里的东西，只要环境适宜，就会繁衍。对于人来说，这环境的要素太多了。
中立,2024-04-18 06:41:06 北京时间,男,我刚刚被平均了11万到账，马上消费
中立,2024-04-18 05:13:07 北京时间,保密,一大堆问题都会在后面的50年内浮出水面，为啥是50年，因为90后已经30多岁了，85岁也算是高寿了。
负面,2024-04-18 03:01:18 北京时间,女,游戏福利不行自然没有萌新入驻啊
负面,2024-04-18 04:32:27 北京时间,保密,就和买车一样买车容易养车难[偷笑]
负面,2024-04-23 09:51:18 北京时间,保密,"影响生育率最关键的因素是：生活的松弛感。,现在中国人太累了，花了太多时间在工作上面，每天除了上班就是在通勤。,我表哥二十年前移民到新西兰，开小店，每天下午三点就关门去海边溜达，说政府不让他超时营业。,要先让中国的年轻人慢下来，闲下来，他们才有空谈恋爱，有空谈恋爱了，才能生孩子。人口降低是趋势，但是有很多办法可以减缓。不是喊提高妇女生育权益吗，把产假期间企业的税收相应降低。 不是喊弹性4.5天工作制吗，你把落实4.5天工作的企业税收降一降，大家每周放假2.5天，不是也更愿意出门走走消费了，更愿意谈恋爱了，最后钱还不是回到国家口袋吗。"
正面,2024-04-19 03:16:06 北京时间,男,高中教过有个叫环境容纳量的东西
负面,2024-04-21 14:49:32 北京时间,保密,我们不用急，会有人急[吃瓜]
正面,2024-04-18 15:59:12 北京时间,保密,我都活得这么累，感觉没有必要结婚生子。说实话，我自己都不愿意来到这个世界上。
负面,2024-04-18 01:59:21 北京时间,保密,小农经济，土地和男子劳动力，就是资本和生产工具，多生男子，就是多了劳动力，然后可以多买田地，逐渐变成富农。三五代人之后，或许可以再培养一个读书人做官[吃瓜]这又何尝不是资本的成长和聚敛[吃瓜]
正面,2024-04-18 13:20:52 北京时间,男,"有个问题哈,就是比如你是外地人，在北京生的小孩，算北京的新增人口还是本省的呀？ 看目前新增人口的城市，都是外来人口打工的地方"
负面,2024-04-18 05:34:54 北京时间,保密,人口不重要，ai技术可以大量替代过剩人口的[吃瓜]一定会越来越好，我在努力学英语了，回答完毕[微笑]
正面,2024-04-18 03:02:29 北京时间,保密,还是恩格斯那个物质再生产和人的再生产的理论，在现代社会物质生产的成本和收益已经不由家庭这一组织共享共担，若人的生产成本不能有由社会这一组织共享共担，人的再生产就不能被促进。
正面,2024-04-18 04:31:41 北京时间,男,"90后00后是该卷还得卷，千万级毕业潮马上就又来了。,过去两年都是千万级，只不过今年是最多的而已，三年合计超3000万，劳动力多的是，你不干有的是人干。,等90后00后老了，卷不动了，临了还得再吃一口劳动力减少的苦。"
正面,2024-04-19 03:43:06 北京时间,保密,不存在人口红利耗尽的问题，你看看现在找不到工作的人有多少，到处是内卷，这些都是人口红利，中国的人口红利资源永远不缺，缺的是市场，如果有足够的市场订单，这些找不到工作的人马上就可以成为人口红利被利用起来
正面,2024-04-18 04:39:13 北京时间,保密,三代人努力才有了我有房有车大学文凭，如果我孩子想有我这高度，至少要么他能考上研究生要么我一个人顶三代人
负面,2024-04-19 12:43:25 北京时间,保密,经历着最激烈的竞争，，，享受着惨不忍睹人生，，，[笑哭]
负面,2024-04-21 12:44:53 北京时间,男,其实不买房不想着结婚生子，你的幸福感就会提高很多（你是个人啊，不要给别人灌输以人生流程来公式化你的人生，那你会像流水线的机器一样，迟早会磨坏的[吃瓜]）祝各位过的开心~
正面,2024-04-19 17:17:42 北京时间,保密,扪心自问一下，这是一个美好的世界吗？把孩子带过来，真的对他好吗？
负面,2024-04-18 15:31:03 北京时间,男,现在自己挣钱自己花，不管是物质还是思想层面都不缺乏，为什么一定要结婚生子呢。非得要耗尽自己和爹妈下半生6个钱袋，给自己找罪受呢！是游戏不好玩了，还是漫画不好看了[doge]
正面,2024-04-18 05:53:18 北京时间,保密,现在底层的小孩子绝大部分都是负资产，带来的只有情绪价值。养小孩养老，大部分是做不到的，很多都是父母最后的时刻才会去陪伴一段时间甚至最后一面没见过的都很多。没有小孩除了孤寂一些其他并没有什么
负面,2024-04-18 04:23:47 北京时间,男,身边统计学的出来救一下啊，你们不是说身边全都是生二胎三胎的吗[吃瓜]
中立,2024-04-19 08:40:15 北京时间,保密,其实关于生育率降低，有个核心问题UP主没说到，就是整体生育时间间隔放大了。以前，100年内可以繁衍5-6代人，而现在结婚生子的评率100年只能繁衍3-4代，整整少了2代了。
负面,2024-04-19 12:15:52 北京时间,女,就这么说吧[嗑瓜子]我周边所有本地家庭，已经很久很久很久没有过新增人口了，不论是同学也好，朋友也好，亲戚也好，自家也好，我们有一个一致的共识，现在这个年代不生孩子是一件很正常的事情，至于这个年代是个什么样的年代，自行理解吧[OK]
负面,2024-04-20 12:13:00 北京时间,保密,我最近换了一个小区 每天九点回去的时候真的有很多小孩 还有不少带二胎的[脱单doge]我说的实话 什么 你问我 没看见我九点才回去吗
负面,2024-05-07 08:28:11 北京时间,保密,人们发现拜神没用就断了香火各干各的去了，这时候神仙就急了，早先享受香火的时候可有想过哪怕降下一场雨呢[呲牙]
负面,2024-04-19 11:10:35 北京时间,男,养老行业将是下一个起飞的行业[吃瓜]
负面,2024-04-18 06:21:51 北京时间,男,这种趋势在近半个世纪难得好转。不过前几年就听说国家要大力发展人工智能，可以替代最底层的劳动力资源。比如自动化农业。自动化流水线工业。我个人预计就是为了未来人口缩减的一个最有利的措施。以后在看不到的未来。真的会有大量的智能机械在无休止劳作。解决人类最基本的生存必需品。
正面,2024-04-19 15:27:06 北京时间,保密,当年都没生，现在更是坚决不生，跟老婆丁克九年了，没有负担，感觉良好
正面,2024-04-20 13:21:59 北京时间,保密,还有各种逆天的婚姻法，对男性没什么好处，压力还大，就不愿意结婚生子了，成本太高了。
负面,2024-05-03 08:12:19 北京时间,保密,让那些岁月静好的人多生点吧，我还要负重前行，就先不生了[呲牙]
正面,2024-04-21 12:11:56 北京时间,保密,人口增长省靠的也是其他省的人，不是自然人口增长
正面,2024-06-18 06:00:18 北京时间,保密,说到底，就是底层没钱，养不起。  房、车、生活成本、孩子的养育成本，看看现在的普通人，多少人能挣到那么多钱
负面,2024-04-19 13:05:39 北京时间,保密,都说养儿防老，我当了20多年的儿子，能不能防老我还不知道吗？[doge] 万一生一个我这样的，真就是心头大患了
中立,2024-04-19 19:00:20 北京时间,男,儿孙自有儿孙福。没有儿孙我享福。真不考虑结婚了，30岁开始存钱养老
负面,2024-04-18 13:07:51 北京时间,保密,党员干部走在前，群众致富就不难！
正面,2024-04-18 06:08:30 北京时间,保密,在一个稳定的社会，大部分情况强者恒强，弱者恒弱。
负面,2024-04-18 04:30:45 北京时间,保密,还在读初中的时候就想过。父母养我一个都很花钱，班上的双胞胎他们父母养他们什么花费都要×2，想想都觉得很难养得起[藏狐]
正面,2024-04-19 12:51:36 北京时间,保密,"人口红利这东西一看就不能永久持续下去，想要继续保持社会福利，那就只能生产机器人，然后让机器人无偿工作赡养人类了。,但是这需要多少年？,我肯定等不到"
中立,2024-04-18 02:09:09 北京时间,保密,没工作岗位怎么生
正面,2024-04-20 09:02:55 北京时间,保密,这个UP说得也不对，古时候疯狂生育的目的，一个是存活率低，寿命低，一个是每个朝代初年是有足够的土地分配的，但不到100年，穷人就没有立锥之地了。
负面,2024-04-19 14:35:40 北京时间,保密,不患寡而患不均，自己都生存的比较辛苦或者说没过上想要的生活，在财富越来越集中的情况下，怎么生？
中立,2024-04-19 08:29:23 北京时间,男,还是因为公司不愿意招人，就算招人还得是一个人干三个人的工作，工资是不会高的，只用付一分钱，最近不是还有个公司共享员工。。不知道是哪个cs能想的出的。还有就是外包，劳务派遣，这两个是毒瘤操作。
负面,2024-04-22 12:24:09 北京时间,男,说得好，奖励你五一调休小长假[doge]
正面,2024-04-18 03:15:09 北京时间,保密,生有一女，月子中心，奶粉，尿片，保险，确实花钱的，然后现在安排兴趣班，国内教育模式和大环境会让你有孩子觉得累，当然除开经济上，更多是心累
