昵称,性别,时间,点赞,评论,IP属地,二级评论条数,等级,uid,rpid
卡萨诺快餐,保密,2024-04-18 04:33:15 北京时间,7405,做了二十几年儿子了，养儿能不能防老我能不知道吗[脱单doge],广东,111,6,37718110,217398491632
shalland,保密,2024-04-18 10:25:29 北京时间,6447,冷知识：京津沪所谓的正增长也只是建立在源源不断的外来人口的基础上，本地人的生育率早就跌破1.0了,辽宁,34,6,192371,217439979072
不在南极,保密,2024-04-19 00:53:31 北京时间,10535,我初中生物老师告诉我，繁衍是生物的本性，但如果某种群判断当下环境不适宜生存，便会停止繁衍。,广西,182,5,279964509,217518638320
花自飘零H,男,2024-04-19 12:17:27 北京时间,3181,受传统观念影响，不结婚生子很多人甚至抬不起头，被人指指点点。但是当下最大的特点是，很多人有手机有电脑，就可以不出门，越来越多人不与人接触就不会受那些传统观念干扰了,四川,25,5,388379230,217603998320
BH7LVV,男,2024-04-18 04:46:23 北京时间,4175,NPC就要有NPC的样子～所以别指望NPC能做主线剧情任务～,广东,9,5,375101503,217400488880
l我叫落尘l,男,2024-04-19 23:39:31 北京时间,2681,当一个游戏不断榨取玩家价值的时候就没有什么新玩家加入了,吉林,28,5,10531932,217662253024
9g33,女,2024-04-18 03:20:59 北京时间,2585,其实原因就四个字:无利可图。能用爱发电，生一个也就很不错了，一个赔本买卖自己图个乐，但谁会同时开几个赔本生意？,江苏,16,5,18150380,217388681152
裁缝千織,保密,2024-04-19 11:02:14 北京时间,2659,"玩过RTS的明白，经济不好还要极限爆兵的话，是很难的。,想要爆兵需要开矿，造补给站和房子。,极限爆兵一般是一波流！相当于机器过载，不可持续的。",湖北,47,5,402823247,217592654512
名前大丈夫,男,2024-04-18 04:26:53 北京时间,3534,宣传孝的本质是为了忠。默认忠是比孝更高的道德，大义可灭亲。如果孝高于忠，大亲可灭义，为孝可背主，孝即刻便不存在[doge],上海,31,6,5579221,217397411840
地狱骑士犬,保密,2024-04-19 11:41:37 北京时间,2726,网友有个优点，见到好东西会分享。自己掉了坑不会让你跳。,广东,30,5,64867253,217598742080
东京火神李梅,女,2024-05-12 12:07:32 北京时间,3270,"这不是好事吗？我就奇了怪了，难道就我是从2000年生活过来的，你们就突然是一下穿越到2024年的吗？2000年那时候我还只是个十岁的小屁孩，那会儿家里穷没电脑没电视机，每天最喜欢做的事就是看报纸,,我现在都还能记得，当时报纸上就是信誓旦旦的提出，我们要在二十几年后实现人口停滞，现在目标都实现了，你们怎么都不笑啊？你们不笑我可就笑了啊[呲牙][呲牙][呲牙]",广西,37,6,241072908,221123455584
天晴指挥官,保密,2024-04-18 01:06:25 北京时间,386,"拜托点赞投币，给up鼓励[喜欢][喜欢],点点500赞，多多转发帮助更多人[打call][打call],拜托大家打赏[保卫萝卜_哭哭][保卫萝卜_哭哭][保卫萝卜_哭哭]",山西,20,6,1995815895,217374757200
