情绪标签,时间,性别,评论
负面,2024-12-08 15:53:19 北京时间,男,嫉妒你的🥦
中立,2024-12-09 01:54:04 北京时间,保密,双关语
中立,2024-12-09 05:34:42 北京时间,保密,🐔°need🥦
正面,2024-12-11 16:33:11 北京时间,男,甜菜
负面,2024-12-31 20:17:49 北京时间,保密,为何要这么发阴阳怪气的表情和言论呢 这不利于团结
负面,2024-12-08 15:53:19 北京时间,男,嫉妒你的🥦
中立,2024-12-09 01:54:04 北京时间,保密,双关语
中立,2024-12-09 05:34:42 北京时间,保密,🐔°need🥦
正面,2024-12-11 16:33:11 北京时间,男,甜菜
负面,2024-12-31 20:17:49 北京时间,保密,为何要这么发阴阳怪气的表情和言论呢 这不利于团结
正面,2024-12-08 02:06:57 北京时间,保密,你是懂dnf的
正面,2024-12-08 03:58:28 北京时间,男,"你好，我是来万代应聘游戏策划的！,         你有什么牛逼的简历吗？,  我在5年内搞死了DNF，但赚了几十倍的利润！,        太好了，我们万代就需要你这样的人才！"
负面,2024-12-08 05:20:54 北京时间,男,回复 @_conspiracy : 他也没说dnf啊  我是怎么清晰的找到你的回复定位的……监控拆一拆
负面,2024-12-08 06:32:19 北京时间,保密,就是有些看不惯别人还在玩，并且还充钱并且还名望高，逼站评论区一直有在骂还在玩的那些
负面,2024-12-08 06:42:36 北京时间,保密,回复 @_conspiracy :是个游戏都这逼样。
负面,2024-12-13 01:28:20 北京时间,男,回复 @宫田爱萌 :那前人栽树干嘛？
负面,2024-12-20 12:47:53 北京时间,保密,我看你是想吃紫蛋了
正面,2024-12-08 02:06:57 北京时间,保密,你是懂dnf的
正面,2024-12-08 03:58:28 北京时间,男,"你好，我是来万代应聘游戏策划的！,         你有什么牛逼的简历吗？,  我在5年内搞死了DNF，但赚了几十倍的利润！,        太好了，我们万代就需要你这样的人才！"
负面,2024-12-08 05:20:54 北京时间,男,回复 @_conspiracy : 他也没说dnf啊  我是怎么清晰的找到你的回复定位的……监控拆一拆
负面,2024-12-08 06:32:19 北京时间,保密,就是有些看不惯别人还在玩，并且还充钱并且还名望高，逼站评论区一直有在骂还在玩的那些
负面,2024-12-08 06:42:36 北京时间,保密,回复 @_conspiracy :是个游戏都这逼样。
负面,2024-12-13 01:28:20 北京时间,男,回复 @宫田爱萌 :那前人栽树干嘛？
负面,2024-12-20 12:47:53 北京时间,保密,我看你是想吃紫蛋了
中立,2024-12-08 16:18:20 北京时间,男,回复 @bili_70565601593 :真这么搞就不是体育馆开吉普了，得去机关开了[笑哭]
负面,2024-12-08 17:50:59 北京时间,保密,回复 @bili_70565601593 :你以为没有吗，隐性单身税就是直接给结婚人口发钱
负面,2024-12-08 18:34:40 北京时间,男,回复 @bili_70565601593 :已经在收了好吧，就个人退税的家里有小孩老人的都能退税，现在很多只是很隐蔽的在收。后面说不定可以退出买奶粉领消费券呢
负面,2024-12-08 19:55:59 北京时间,保密,回复 @bili_70565601593 :有没有可能他们的前辈已经干过更疯狂的了
负面,2024-12-09 02:27:32 北京时间,保密,回复 @圣血天使死亡连部队 : 这下听懂了
负面,2024-12-09 02:27:41 北京时间,保密,回复 @周一木之 : 悟了
中立,2024-12-09 07:27:47 北京时间,保密,更不急，打不了多来几次盐哒
负面,2024-12-09 11:45:12 北京时间,男,回复 @bili_70565601593 :他们这样没有那么长远的
中立,2024-12-10 21:16:02 北京时间,保密,确实[UP主共创剧场表情包_痴呆]
负面,2024-12-10 21:20:13 北京时间,保密,回复 @bili_70565601593 :【罪犯还是英雄？美网民狂挺疑似医保案被捕枪手 高管人人自危-哔哩哔哩】 https://b23.tv/X3sMY8g 看看这个
负面,2025-01-01 04:38:23 北京时间,保密,回复 @我们大家都是乐子人 :评论区高赞评论：这么看，发明CEO管理制度的人真是天才，幕后股东大佬丝毫不慌
中立,2024-12-08 16:18:20 北京时间,男,回复 @bili_70565601593 :真这么搞就不是体育馆开吉普了，得去机关开了[笑哭]
负面,2024-12-08 17:50:59 北京时间,保密,回复 @bili_70565601593 :你以为没有吗，隐性单身税就是直接给结婚人口发钱
负面,2024-12-08 18:34:40 北京时间,男,回复 @bili_70565601593 :已经在收了好吧，就个人退税的家里有小孩老人的都能退税，现在很多只是很隐蔽的在收。后面说不定可以退出买奶粉领消费券呢
负面,2024-12-08 19:55:59 北京时间,保密,回复 @bili_70565601593 :有没有可能他们的前辈已经干过更疯狂的了
负面,2024-12-09 02:27:32 北京时间,保密,回复 @圣血天使死亡连部队 : 这下听懂了
负面,2024-12-09 02:27:41 北京时间,保密,回复 @周一木之 : 悟了
中立,2024-12-09 07:27:47 北京时间,保密,更不急，打不了多来几次盐哒
负面,2024-12-09 11:45:12 北京时间,男,回复 @bili_70565601593 :他们这样没有那么长远的
中立,2024-12-10 21:16:02 北京时间,保密,确实[UP主共创剧场表情包_痴呆]
负面,2024-12-10 21:20:13 北京时间,保密,回复 @bili_70565601593 :【罪犯还是英雄？美网民狂挺疑似医保案被捕枪手 高管人人自危-哔哩哔哩】 https://b23.tv/X3sMY8g 看看这个
负面,2025-01-01 04:38:23 北京时间,保密,回复 @我们大家都是乐子人 :评论区高赞评论：这么看，发明CEO管理制度的人真是天才，幕后股东大佬丝毫不慌
正面,2024-12-08 02:04:59 北京时间,保密,。。。
正面,2024-12-08 02:11:42 北京时间,保密,说的很对，五十年后关我屁事
正面,2024-12-08 16:34:45 北京时间,男,相信后来人的智慧，然而后来人越来越少。
正面,2024-12-10 01:23:59 北京时间,保密,有没有可能可以用到2081甚至更长的时间
负面,2024-12-10 03:15:44 北京时间,保密,回复 @你口也香 :2076 到时候都搞出可控核聚变、人造人了，真的不在乎人口了
负面,2024-12-12 04:45:38 北京时间,男,回复 @Sky大果果 :社会存在的意义是因为人，人都没有一切都没有价值，
正面,2024-12-08 02:04:59 北京时间,保密,。。。
正面,2024-12-08 02:11:42 北京时间,保密,说的很对，五十年后关我屁事
正面,2024-12-08 16:34:45 北京时间,男,相信后来人的智慧，然而后来人越来越少。
正面,2024-12-10 01:23:59 北京时间,保密,有没有可能可以用到2081甚至更长的时间
负面,2024-12-10 03:15:44 北京时间,保密,回复 @你口也香 :2076 到时候都搞出可控核聚变、人造人了，真的不在乎人口了
负面,2024-12-12 04:45:38 北京时间,男,回复 @Sky大果果 :社会存在的意义是因为人，人都没有一切都没有价值，
中立,2024-12-08 01:32:18 北京时间,男,要不说胖东来稍微有点风吹草动就被大肆批判呢[doge]
负面,2024-12-08 01:55:50 北京时间,保密,回覆 @专属Melo :特别招黑
中立,2024-12-08 01:58:28 北京时间,男,老美世界第一不是一堆人住平民窟的
负面,2024-12-08 02:00:23 北京时间,男,回复 @超星系团复合体 :微软苹果的员工可是过的很好的
正面,2024-12-08 02:03:45 北京时间,保密,说的不错
负面,2024-12-08 02:04:52 北京时间,保密,回复 @超星系团复合体 :搞极端没意思  非洲也有日子过得非常爽呢  按照普通人看
负面,2024-12-08 02:11:03 北京时间,保密,回复 @超星系团复合体 :老美住贫民窟的绝大可能是又懒又吸毒的
负面,2024-12-08 02:11:05 北京时间,男,回复 @那咋办啊啊啊啊啊 :你这话也能套在华为身上。而且你不知道的是微软苹果的大量业务都是外包的，这些外包企业的员工是否应该算成苹果微软员工呢？可
正面,2024-12-08 02:14:43 北京时间,男,是能套在华为身上啊，虽然加班多点，但宁德身为电池领域的大哥，是不是也能让他的员工过好点的呢，福利高点呢
负面,2024-12-08 02:32:58 北京时间,保密,回复 @虚无XIA :你能免费去制造业上几个月班吗？
