昵称,性别,时间,点赅,评论,IP属地,"二级评论条数,条数相同说明在同一个人下面",等级,uid,rpid
我冰八强无敌,男,2024-12-08 15:53:19 北京时间,2,嫉妒你的🥦,湖南,5,6,283971299,248772275361
骨架玩家有反转,保密,2024-12-09 01:54:04 北京时间,1,双关语,四川,5,4,3546378944908059,248790352353
FF91窒息版,保密,2024-12-09 05:34:42 北京时间,1,🐔°need🥦,安徽,5,5,6816498,249225925040
ReeRuan,男,2024-12-11 16:33:11 北京时间,0,甜菜,安徽,5,5,470896000,249443536608
金澪谚,保密,2024-12-31 20:17:49 北京时间,0,为何要这么发阴阳怪气的表情和言论呢 这不利于团结,新加坡,5,5,442707559,250668476609
我冰八强无敌,男,2024-12-08 15:53:19 北京时间,2,嫉妒你的🥦,湖南,5,6,283971299,248772275361
骨架玩家有反转,保密,2024-12-09 01:54:04 北京时间,1,双关语,四川,5,4,3546378944908059,248790352353
FF91窒息版,保密,2024-12-09 05:34:42 北京时间,1,🐔°need🥦,安徽,5,5,6816498,249225925040
ReeRuan,男,2024-12-11 16:33:11 北京时间,0,甜菜,安徽,5,5,470896000,249443536608
金澪谚,保密,2024-12-31 20:17:49 北京时间,0,为何要这么发阴阳怪气的表情和言论呢 这不利于团结,新加坡,5,5,442707559,250668476609
_conspiracy,保密,2024-12-08 02:06:57 北京时间,54,你是懂dnf的,广东,7,6,107031759,248706524113
洛波特,男,2024-12-08 03:58:28 北京时间,39,"你好，我是来万代应聘游戏策划的！,         你有什么牛逼的简历吗？,  我在5年内搞死了DNF，但赚了几十倍的利润！,        太好了，我们万代就需要你这样的人才！",浙江,7,6,18678703,249132074240
不古不古i,男,2024-12-08 05:20:54 北京时间,2,回复 @_conspiracy : 他也没说dnf啊  我是怎么清晰的找到你的回复定位的……监控拆一拆,天津,7,5,392963603,249139116624
哔君哔君哔,保密,2024-12-08 06:32:19 北京时间,2,就是有些看不惯别人还在玩，并且还充钱并且还名望高，逼站评论区一直有在骂还在玩的那些,云南,7,6,8931298,248726882177
神奇的雪哥,保密,2024-12-08 06:42:36 北京时间,1,回复 @_conspiracy :是个游戏都这逼样。,吉林,7,5,384756683,248727603601
小何头又大了,男,2024-12-13 01:28:20 北京时间,0,回复 @宫田爱萌 :那前人栽树干嘛？,安徽,7,5,504734617,249542887808
